iter	Passed	Remaining
0	141	141454
1	142	71074
2	143	47632
3	144	35907
4	145	28892
5	146	24196
6	147	20862
7	148	18353
8	148	16396
9	149	14818
10	150	13534
11	151	12473
12	152	11565
13	153	10779
14	153	10102
15	154	9507
16	155	8992
17	156	8525
18	156	8106
19	157	7733
20	158	7395
21	159	7085
22	160	6801
23	160	6543
24	161	6305
25	162	6084
26	163	5884
27	164	5696
28	165	5536
29	166	5370
30	166	5216
31	167	5071
32	169	4955
33	170	4836
34	171	4725
35	172	4613
36	173	4505
37	174	4405
38	174	4307
39	175	4214
40	176	4125
41	177	4041
42	178	3962
43	178	3885
44	179	3813
45	180	3743
46	181	3673
47	181	3609
48	182	3545
49	183	3491
50	184	3433
51	185	3377
52	185	3322
53	186	3271
54	187	3223
55	188	3178
56	189	3132
57	190	3089
58	191	3050
59	192	3013
60	193	2978
61	194	2940
62	195	2901
63	195	2863
64	196	2826
65	197	2791
66	197	2757
67	198	2718
68	199	2685
69	199	2655
70	200	2624
71	201	2595
72	202	2565
73	202	2537
74	203	2509
75	204	2481
76	204	2455
77	205	2430
78	206	2405
79	206	2380
80	207	2355
81	208	2331
82	209	2309
83	209	2286
84	210	2263
85	210	2241
86	211	2218
87	212	2198
88	213	2180
89	213	2161
90	214	2142
91	215	2124
92	215	2105
93	216	2088
94	217	2070
95	218	2053
96	218	2035
97	219	2018
98	220	2002
99	220	1987
100	221	1973
101	222	1955
102	222	1941
103	223	1926
104	224	1912
105	225	1898
106	225	1885
107	226	1872
108	227	1860
109	228	1847
110	229	1834
111	229	1821
112	230	1809
113	231	1796
114	231	1784
115	232	1771
116	233	1759
117	233	1747
118	234	1734
119	234	1722
120	235	1710
121	236	1698
122	236	1685
123	236	1674
124	237	1663
125	238	1652
126	238	1642
127	239	1631
128	240	1621
129	240	1612
130	241	1603
131	242	1594
132	243	1584
133	243	1574
134	244	1565
135	244	1555
136	245	1546
137	246	1536
138	246	1528
139	247	1520
140	248	1511
141	248	1502
142	249	1494
143	249	1486
144	250	1477
145	251	1469
146	251	1461
147	252	1453
148	253	1446
149	253	1439
150	254	1431
151	255	1424
152	255	1416
153	256	1409
154	257	1402
155	257	1394
156	258	1387
157	259	1380
158	259	1373
159	260	1366
160	260	1359
161	261	1352
162	262	1345
163	262	1339
164	263	1332
165	263	1325
166	264	1319
167	265	1312
168	265	1306
169	266	1300
170	267	1294
171	267	1289
172	268	1284
173	269	1278
174	270	1273
175	270	1268
176	271	1263
177	272	1257
178	273	1252
179	273	1247
180	274	1240
181	274	1235
182	275	1230
183	276	1224
184	276	1219
185	277	1214
186	278	1209
187	278	1204
188	279	1199
189	280	1194
190	280	1189
191	281	1184
192	282	1180
193	283	1176
194	283	1171
195	284	1166
196	285	1162
197	285	1157
198	286	1153
199	287	1149
200	287	1144
201	288	1140
202	289	1135
203	289	1131
204	290	1126
205	291	1122
206	291	1118
207	292	1113
208	293	1109
209	293	1105
210	294	1101
211	295	1097
212	295	1093
213	296	1088
214	297	1084
215	297	1081
216	298	1077
217	299	1072
218	299	1069
219	300	1065
220	301	1061
221	301	1057
222	302	1053
223	303	1050
224	303	1046
225	304	1042
226	305	1039
227	305	1035
228	306	1031
229	307	1028
230	307	1024
231	308	1021
232	309	1017
233	309	1014
234	310	1010
235	311	1007
236	311	1003
237	312	1000
238	313	997
239	313	993
240	314	990
241	315	987
242	315	984
243	316	980
244	317	977
245	317	974
246	318	970
247	319	967
248	319	964
249	320	960
250	320	957
251	321	954
252	322	951
253	322	948
254	323	945
255	324	942
256	324	938
257	325	935
258	326	932
259	326	929
260	327	926
261	327	923
262	328	920
263	329	917
264	329	915
265	330	912
266	331	909
267	332	907
268	332	904
269	333	901
270	333	898
271	334	895
272	335	893
273	336	890
274	336	887
275	337	885
276	338	882
277	338	879
278	339	877
279	340	875
280	340	872
281	341	869
282	342	866
283	342	864
284	343	861
285	343	858
286	344	855
287	345	853
288	345	850
289	346	848
290	347	846
291	348	843
292	348	841
293	349	839
294	350	836
295	350	834
296	351	831
297	352	829
298	352	827
299	353	824
300	354	822
301	354	819
302	355	817
303	356	815
304	356	812
305	357	810
306	357	808
307	358	805
308	359	803
309	360	801
310	360	799
311	361	796
312	362	794
313	362	792
314	363	790
315	363	787
316	364	785
317	365	783
318	365	781
319	366	779
320	367	777
321	368	775
322	368	772
323	369	770
324	369	768
325	370	766
326	371	764
327	372	762
328	372	760
329	373	758
330	374	756
331	374	754
332	375	752
333	376	750
334	376	748
335	377	745
336	378	743
337	378	742
338	379	740
339	380	738
340	381	736
341	382	734
342	382	733
