iter	Passed	Remaining
0	141	141747
1	144	72109
2	147	49000
3	149	37288
4	153	30478
5	156	25851
6	158	22490
7	161	19997
8	163	17981
9	166	16456
10	169	15197
11	171	14130
12	173	13203
13	176	12414
14	178	11700
15	179	11066
16	181	10517
17	184	10064
18	187	9670
19	189	9309
20	192	8985
21	195	8683
22	197	8372
23	199	8098
24	201	7851
25	202	7603
26	204	7380
27	206	7173
28	208	6976
29	209	6788
30	211	6614
31	213	6445
32	214	6292
33	216	6139
34	217	5990
35	218	5841
36	219	5702
37	220	5580
38	221	5459
39	222	5351
40	224	5248
41	225	5148
42	227	5057
43	228	4972
44	230	4883
45	231	4795
46	232	4707
47	233	4624
48	234	4548
49	235	4474
50	236	4399
51	237	4329
52	238	4259
53	239	4192
54	240	4128
55	241	4067
56	242	4007
57	243	3948
58	244	3891
59	244	3834
60	245	3780
61	246	3729
62	247	3677
63	248	3629
64	248	3580
65	249	3532
66	250	3485
67	251	3441
68	251	3397
69	252	3354
70	253	3313
71	253	3272
72	254	3231
73	255	3193
74	256	3157
75	256	3124
76	257	3088
77	258	3052
78	258	3019
79	259	2985
80	260	2951
81	260	2918
82	261	2883
83	261	2853
84	262	2824
85	263	2795
86	263	2766
87	264	2738
88	264	2711
89	265	2684
90	266	2658
91	266	2632
92	267	2607
93	267	2582
94	268	2558
95	269	2534
96	269	2510
97	270	2487
98	271	2467
99	271	2446
100	272	2425
101	273	2405
102	273	2384
103	274	2364
104	274	2343
105	275	2324
106	276	2306
107	277	2288
108	277	2270
109	278	2252
110	279	2234
111	279	2218
112	280	2200
113	281	2184
114	281	2167
115	282	2150
116	282	2133
117	283	2118
118	283	2102
119	284	2086
120	285	2071
121	285	2057
122	286	2043
123	287	2030
124	288	2016
125	288	2002
126	289	1987
127	289	1973
128	290	1961
129	291	1948
130	291	1935
131	292	1922
132	292	1909
133	293	1896
134	294	1885
135	294	1873
136	295	1861
137	296	1850
138	296	1839
139	297	1827
140	298	1816
141	298	1803
142	299	1792
143	299	1781
144	300	1771
145	301	1762
146	302	1752
147	302	1742
148	303	1732
149	304	1723
150	304	1714
151	305	1705
152	306	1696
153	307	1687
154	307	1678
155	308	1670
156	309	1661
157	310	1653
158	310	1644
159	311	1636
160	312	1626
161	312	1618
162	313	1610
163	314	1602
164	315	1594
165	316	1587
166	316	1580
167	317	1573
168	318	1565
169	319	1558
170	319	1550
171	320	1543
172	321	1535
173	321	1527
174	322	1520
175	323	1512
176	323	1505
177	324	1498
178	325	1491
179	325	1483
180	326	1476
181	326	1469
182	327	1462
183	328	1454
184	328	1447
185	329	1440
186	330	1435
187	331	1429
188	331	1423
189	332	1417
190	333	1411
191	333	1405
192	334	1398
193	335	1392
194	335	1386
195	336	1379
196	337	1373
197	337	1367
198	338	1361
